Label,Notation,Parent Notation,Sort Priority
All ages,all,,1
Quinary age groups,agq,all,2
Under 1,agq/under-1,agq,
01-04,agq/1-4,agq,
0 - 4,agq/0-4,agq,3
05-09,agq/5-9,agq,4
10-14,agq/10-14,agq,5
15 - 19,agq/15-19,agq,6
20 - 24,agq/20-24,agq,7
25 - 29,agq/25-29,agq,8
30 - 34,agq/30-34,agq,9
35 - 39,agq/35-39,agq,10
40 - 44,agq/40-44,agq,11
45 - 49,agq/45-49,agq,12
50 - 54,agq/50-54,agq,13
55 - 59,agq/55-59,agq,14
60 - 64,agq/60-64,agq,15
65 - 69,agq/65-69,agq,16
70 - 74,agq/70-74,agq,17
75 - 79,agq/75-79,agq,18
80 - 84,agq/80-84,agq,19
85 and over,agq/85-plus,agq,20
85 - 89,agq/85-89,agq,21
90 and over,agq/90-plus,agq,22
Alternative age groups 1,ag1,all,23
0 - 16,ag1/0-16,ag1,24
17 - 18,ag1/17-18,ag1,25
19 - 21,ag1/19-21,ag1,26
22 - 59,ag1/22-59,ag1,27
60 - 64,ag1/60-64,ag1,28
65 and over,ag1/65-plus,ag1,29
Alternative age groups 2,ag2,all,30
0 - 14,ag2/0-14,ag2,31
15 - 24,ag2/15-24,ag2,32
25 - 44,ag2/25-44,ag2,33
45 - 59,ag2/45-59,ag2,34
60 - 64,ag2/60-64,ag2,35
65 and over,ag2/65-plus,ag2,36
Age groups with gender-specific retirement ages,agr,all,37
Under 15,agr/under-15,agr,38
15-24,agr/15-24,agr,39
25-44,agr/25-44,agr,40
45-59/64,agr/45-59-or-64,agr,41
60/65 and over,agr/60-or-65-and-over,agr,42
16-61/64,agr/16-61-or-64,agr,
NISRA 5 year bands,nisra5,all,43
Under 25,nisra5/under-25,nisra5,
00-17,nisra5/00-17,nisra5,44
18-24,nisra5/18-24,nisra5,45
25-34,nisra5/25-34,nisra5,46
35-44,nisra5/35-44,nisra5,47
45-54,nisra5/45-54,nisra5,48
55-64,nisra5/55-64,nisra5,49
65+,nisra5/65-plus,nisra5,50
65-74,nisra5/65-74,nisra5,
75 and over,nisra5/75-plus,nisra5,
Single Year of Age,year,all,51
0,year/0,year,52
1,year/1,year,53
2,year/2,year,54
3,year/3,year,55
4,year/4,year,56
5,year/5,year,57
6,year/6,year,58
7,year/7,year,59
8,year/8,year,60
9,year/9,year,61
10,year/10,year,62
11,year/11,year,63
12,year/12,year,64
13,year/13,year,65
14,year/14,year,66
15,year/15,year,67
16,year/16,year,68
17,year/17,year,69
18,year/18,year,70
19,year/19,year,71
20,year/20,year,72
21,year/21,year,73
22,year/22,year,74
23,year/23,year,75
