Label,Notation,Parent Notation,Sort Priority
"PT/walk",100empptt,,1
"Cycle",100empcyct,,2
"Car",100empcart,,3
"PT/walk",500empptt,,4
"Cycle",500empcyct,,5
"Car",500empcart,,6
"PT/walk",5000empptt,,7
"Cycle",5000empcyct,,8
"Car",5000empcart,,9
"PT/walk",psptt,,10
"Cycle",pscyct,,11
"Car",pscart,,12
"PT/walk",ssptt,,13
"Cycle",sscyct,,14
"Car",sscart,,15
"PT/walk",feptt,,16
"Cycle",fecyct,,17
"Car",fecart,,18
"PT/walk",gpptt,,19
"Cycle",gpcyct,,20
"Car",gpcart,,21
"PT/walk",hospptt,,22
"Cycle",hospcyct,,23
"Car",hospcart,,24
"PT/walk",foodptt,,25
"Cycle",foodcyct,,26
"Car",foodcart,,27
"PT/walk",townptt,,28
"Cycle",towncyct,,29
"Car",towncart,,30
"PT/walk",phptt,,31
"Cycle",phcyct,,32
"Car",phcart,,33
