Label,Notation,Parent Notation,Sort Priority
Agriculture and Environment,agriculture-environment,,1
"Business, Industry, Trade and Energy",business-industry-trade-energy,,2
"Children, Education and Skills",children-education-skills,,3
Crime and Justice,crime-justice,,4
Culture and Identity,culture-identity,,5
Economy,economy,,6
Health and Social Care,health-social-care,,7
"Housing, Planning and Local Services",housing-planning-local-services,,8
Labour Market and Welfare,labour-market-welfare,,9
Population,population,,10
"Security, Defence and International Relations",security-defence-international-relations,,11
"Travel, Transport and Tourism",travel-transport-tourism,,12
