Label,Notation,Parent Notation,Sort Priority
0 Total services,0 ,,1
1 Manufacturing services on physical inputs owned by others,1 ,0,2
10 Other business services,10,0,3
"11 Personal, cultural, and recreational services",11,0,4
12 Government goods and services n.i.e.,12,0,5
2 Maintenance and repair services,2 ,0,6
3 Transportation,3 ,0,7
4 Travel,4 ,0,8
5 Construction,5 ,0,9
6 Insurance and pension services,6 ,0,10
7 Financial services,7 ,0,11
8 Intellectual property,8 ,0,12
"9 Telecommunications, computer and information services",9 ,0,13
