Path,Label,Comment,Source,Parent,Range
count,Count,The total number of items,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:integer
cumulative-count,Cumulative Count,The total number of items added to the previous total,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:integer
indicator,Indicator,,,,xsd:decimal
standardised-scale,Standardised Scale,,,,xsd:decimal
percentage,Percentage,,,,xsd:decimal
percent,Percent,,,,xsd:decimal
kilowatt,Kilowatt,,,,xsd:decimal
weight,Weight,,,,xsd:decimal
travel-time,Travel Time,,,,xsd:decimal
deprivation,Deprivation,,,,xsd:decimal
indices,Indices,,,,xsd:decimal
sales,Sales,,,,xsd:decimal
mean-consumption,Mean Consumption,In this case mean consumption of electricity,,,xsd:decimal
median-consumption,Median Consumption,In this case median consumption of electricity,,,xsd:decimal
gdp,Gross Domestic Product,,,,xsd:decimal
ranks,Ranks,,,,xsd:integer
scores,Scores,,,,xsd:decimal
denominators,Denominators,,,,xsd:integer
numerators,Numerators,,,,xsd:integer
current-prices,Current Prices,,,,xsd:integer
proportion,Proportion,,,,xsd:decimal
cmp,Current Market Prices,,,,xsd:integer
gva,Gross Value Added,,,,xsd:decimal
cvm,Chained Volume Measures,,,,xsd:decimal
trade,Trade,,,,xsd:decimal
expenditure,Expenditure,,,,xsd:decimal
tariff,Tariff,,,,xsd:decimal
Aggregate Fuel Pverty Gap,aggregate-fuel-poverty-gap,,,,xsd:decimal
Average Fuel Pverty Gap,aggregate-fuel-poverty-gap,,,,xsd:decimal
