Label,Notation,Parent Notation,Sort Priority,Description
International organisations,1A0,,1,
UN organisations,1B0,,2,
IMF (International Monetary Fund),1C0,,3,
World Trade Organisation,1D0,,4,
International Bank for Reconstruction and Development,1E0,,5,
International Development Association,1F0,,6,
ICSID (International Centre for Settlement of Investment Disputes),1G0,,7,
"UNESCO (United Nations Educational, Scientific and Cultural Organisation)",1H0,,8,
FAO (Food and Agriculture Organisation),1J0,,9,
WHO (World Health Organisation),1K0,,10,
IFAD (International Fund for Agricultural Development),1L0,,11,
IFC (International Finance Corporation),1M0,,12,
MIGA (Multilateral Investment Guarantee Agency),1N0,,13,
UNICEF (United Nations Children Fund),1O0,,14,
UNHCR (United Nations High Commissioner for Refugees),1P0,,15,
UNRWA (United Nations Relief and Works Agency for Palestine),1Q0,,16,
IAEA (International Atomic Energy Agency),1R0,,17,
ILO (International Labour Organisation),1S0,,18,
ITU (International Telecommunication Union),1T0,,19,
Rest of UN Organisations n.i.e.,1U0,,20,
Universal Postal Union,1V0,,21,
All the European Union Institutions excluding the ECB and ESM,4A0,,22,
EIB (European Investment Bank),4C0,,23,
European Commission (including Eurostat),4D0,,24,
Statistical Office of the European Commission (Eurostat),4D1,,25,
EDF (European Development Fund),4E0,,26,
ECB (European Central Bank),4F0,,27,
EIF (European Investment Fund),4G0,,28,
European Community of Steel and Coal,4H0,,29,
"Other EC Institutions, Organs and Organisms covered by General budget",4J0,,30,
European Parliament,4J10,,31,
Council of the European Union,4J20,,32,
Court of Justice,4J30,,33,
Court of Auditors,4J40,,34,
European Council,4J50,,35,
Economic and Social Committee,4J60,,36,
Committee of Regions,4J70,,37,
"Other European Community Institutions, Organs and Organisms",4J80,,38,
Agency for the Cooperation of Energy Regulators,4J810,,39,
European Centre for Disease Prevention and Control,4J8100,,40,
European Centre for the Development of Vocational Training,4J8110,,41,
European Chemicals Agency,4J8120,,42,
European Data Protection Supervisor,4J8130,,43,
European Defence Agency,4J8140,,44,
European Environment Agency,4J8150,,45,
European External Action Service,4J8160,,46,
European Fisheries Control Agency,4J8170,,47,
European Food Safety Authority,4J8180,,48,
European Foundation for the Improvement of Living and Working Conditions,4J8190,,49,
Body of European Regulators for Electronic Communications,4J820,,50,
European GNSS Agency,4J8200,,51,
European Institute for Gender Equality,4J8210,,52,
European Institute of Innovation and Technology,4J8220,,53,
European Maritime Safety Agency,4J8230,,54,
European Medicines Agency,4J8240,,55,
European Monitoring Centre for Drugs and Drug Addiction,4J8250,,56,
European Network and Information Security Agency,4J8260,,57,
European Ombudsman,4J8270,,58,
European Personnel Selection Office,4J8280,,59,
European Police College,4J8290,,60,
Community Plant Variety Office,4J830,,61,
European Police Office,4J8300,,62,
European Public Prosecutor's Office (in preparation),4J8310,,63,
European Railway Agency,4J8320,,64,
European School of Administration,4J8330,,65,
European Training Foundation,4J8340,,66,
European Union Agency for Fundamental Rights,4J8350,,67,
European Union Institute for Security Studies,4J8360,,68,
European Union Intellectual Property Office,4J8370,,69,
European Union Satellite Centre,4J8380,,70,
Publications Office of the European Union,4J8390,,71,
Computer Emergency Response Team,4J840,,72,
The European Union’s Judicial Cooperation Unit,4J8400,,73,
Translation Centre for the Bodies of the European Union,4J8410,,74,
ATHENA Mechanism,4J8420,,75,
European Agency for Safety and Health at Work,4J850,,76,
European Agency for the Management of Operational Cooperation at the External Borders,4J860,,77,
"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice",4J870,,78,
European Asylum Support Office,4J880,,79,
European Aviation Safety Agency,4J890,,80,
SRB (Single Resolution Board),4M0,,81,
ESM (European Stability Mechanism),4S0,,82,
Joint Committee of the European Supervisory Authorities (ESAs),4T0,,83,
EBA (European Banking Authority),4T10,,84,
ESMA (European Securities and Markets Authority),4T20,,85,
EIOPA (European Insurance and Occupational Pensions Authority),4T30,,86,
All the European Union Institutions including the ECB and ESM,4Y0,,87,
BIS (Bank for International Settlements),5B0,,88,
IADB (Inter-American Development Bank),5C0,,89,
AfDB (African Development Bank),5D0,,90,
AsDB (Asian Development Bank),5E0,,91,
EBRD (European Bank for Reconstruction and Development),5F0,,92,
IIC (Inter-American Investment Corporation),5G0,,93,
NIB (Nordic Investment Bank),5H0,,94,
ECCB (Eastern Caribbean Central Bank),5I0,,95,
IBEC (International Bank for Economic Co-operation),5J0,,96,
IIB (International Investment Bank),5K0,,97,
CDB (Caribbean Development Bank),5L0,,98,
AMF (Arab Monetary Fund),5M0,,99,
BADEA (Banque arabe pour le développement économique en Afrique),5N0,,100,
BCEAO (Banque Centrale des États de l’Afrique de l’Ouest),5O0,,101,
CASDB (Central African States Development Bank),5P0,,102,
African Development Fund,5Q0,,103,
Asian Development Fund,5R0,,104,
Fonds spécial unifié de développement,5S0,,105,
CABEI (Central American Bank for Economic Integration),5T0,,106,
ADC (Andean Development Corporation),5U0,,107,
BEAC (Banque des Etats de l`Afrique Centrale),5W0,,108,
CEMAC (Communauté Économique et Monétaire de l’Afrique Centrale),5X0,,109,
ECCU (Eastern Caribbean Currency Union),5Y0,,110,
Other International Financial Organisations n.i.e.,5Z0,,111,
Africa Finance Corporation,5Z10,,112,
International Civil Aviation Organization,5Z100,,113,
International Cocoa Organization,5Z110,,114,
International Coffee Organization,5Z120,,115,
International Copper Study Group,5Z130,,116,
International Cotton Advisory Committee,5Z140,,117,
International Grains Council,5Z150,,118,
International Jute Study Group,5Z160,,119,
International Lead and Zinc Study Group,5Z170,,120,
International Maritime Organization,5Z180,,121,
International Maritime Satellite Organization,5Z190,,122,
African Development Bank Group,5Z20,,123,
International Olive Oil Council,5Z200,,124,
International Rubber Study Group,5Z210,,125,
International Sugar Organization,5Z220,,126,
Latin American and the Caribbean Economic System,5Z230,,127,
Latin American Energy Organization,5Z240,,128,
Latin American Integration Association,5Z250,,129,
League of Arab States,5Z260,,130,
Organisation of Eastern Caribbean States,5Z270,,131,
Organization of American States,5Z280,,132,
Organization of Arab Petroleum Exporting Countries,5Z290,,133,
Arab Fund for Economic and Social Development,5z30,,134,
Organization of Central American States,5Z300,,135,
Organization of the Petroleum Exporting Countries,5Z310,,136,
South Asian Association for Regional Cooperation,5Z330,,137,
United Nations Conference on Trade and Development,5Z340,,138,
West African Economic Community,5Z350,,139,
West African Health Organisation,5Z360,,140,
West African Monetary Agency,5Z370,,141,
West African Monetary Institute,5Z380,,142,
World Council of Churches,5Z390,,143,
Asian Clearing Union,5Z40,,144,
World Intellectual Property Organization,5Z400,,145,
World Meteorological Organization,5Z410,,146,
World Tourism Organization,5Z420,,147,
Colombo Plan,5Z50,,148,
Economic Community of West African States,5Z60,,149,
European Free Trade Association,5Z70,,150,
Fusion for Energy,5Z80,,151,
Intergovernmental Council of Copper Exporting Countries,5Z90,,152,
Other International Organisations (non-financial institutions),6A0,,153,
African Union,6A10,,154,
Association of Southeast Asian Nations,6A20,,155,
Caribbean Community and Common Market,6A30,,156,
Central American Common Market,6A40,,157,
East African Development Bank,6A50,,158,
ECOWAS Bank for Investment and Development,6A60,,159,
Latin American Association of Development Financing Institutions,6A70,,160,
OPEC Fund for International Development,6A80,,161,
NATO (North Atlantic Treaty Organisation),6B0,,162,
Council of Europe,6C0,,163,
ICRC (International Committee of the Red Cross),6D0,,164,
ESA (European Space Agency),6E0,,165,
EPO (European Patent Office),6F0,,166,
EUROCONTROL (European Organisation for the Safety of Air Navigation),6G0,,167,
EUTELSAT (European Telecommunications Satellite Organisation),6H0,,168,
EMBL (European Molecular Biology Laboratory),6I0,,169,
INTELSAT (International Telecommunications Satellite Organisation),6J0,,170,
EBU/UER (European Broadcasting Union/Union européenne de radio-télévision),6K0,,171,
EUMETSAT (European Organisation for the Exploitation of Meteorological Satellites),6L0,,172,
ESO (European Southern Observatory),6M0,,173,
ECMWF (European Centre for Medium-Range Weather Forecasts),6N0,,174,
OECD (Organisation for Economic Co-operation and Development),6O0,,175,
CERN (European Organisation for Nuclear Research),6P0,,176,
IOM (International Organisation for Migration),6Q0,,177,
Other International Non-Financial Organisations n.i.e.,6Z0,,178,
WAEMU (West African Economic and Monetary Union),7A0,,179,
IDB (Islamic Development Bank),7B0,,180,
EDB (Eurasian Development Bank ),7C0,,181,
Paris Club Creditor Institutions,7D0,,182,
CEB (Council of Europe Development Bank),7E0,,183,
International Union of Credit and Investment Insurers,7F0,,184,
Black Sea Trade and Development Banks,7G0,,185,
AFREXIMBANK (African Export-Import Bank),7H0,,186,
BLADEX (Banco Latino Americano De Comercio Exterior),7I0,,187,
FLAR (Fondo Latino Americano de Reservas),7J0,,188,
Fonds Belgo-Congolais d'Amortissement et de Gestion,7K0,,189,
IFFIm (International finance Facility for Immunisation),7L0,,190,
EUROFIMA (European Company for the Financing of Railroad Rolling Stock),7M0,,191,
Development Bank of Latin America (Banco de Desarrollo de America Latina),7N0,,192,
The Eastern and Southern African Trade and Development Bank,7O0,,193,
International Organisations excl. European Community Institutions (4Y),9A0,,194,
Andorra Finance institute,AD2,,195,
"Central Statistical Organization, part of the Ministry of Economy and Planning (United Arab Emirates)",AE1,,196,
Central Bank of the United Arab Emirates,AE2,,197,
Ministry of Finance and Industry (United Arab Emirates),AE4,,198,
Da Afghanistan Bank,AF2,,199,
"Ministry of Finance (Afghanistan, Islamic State of)",AF4,,200,
Eastern Caribbean Central Bank (ECCB) (Antigua and Barbuda),AG2,,201,
Ministry of Finance (Antigua and Barbuda),AG4,,202,
Central Statistical Office (Anguilla),AI1,,203,
Ministry of Finance (Anguilla),AI4,,204,
Other competent National Authority (Anguilla),AI99,,205,
