Label,Notation,Parent Notation,Sort Priority,Description
Calendar year,C,,1,
Fiscal year starting in February,F02,,2,
Fiscal year starting in March,F03,,3,
Fiscal year starting in April,F04,,4,
Fiscal year starting in May,F05,,5,
Fiscal year starting in June,F06,,6,
Fiscal year starting in July,F07,,7,
Fiscal year starting in August,F08,,8,
Fiscal year starting in September,F09,,9,
Fiscal year starting in October,F10,,10,
Fiscal year starting in November,F11,,11,
Fiscal year starting in December,F12,,12,
Fiscal year (other definition),F_O,,13,
