Label,Notation,Parent Notation,Sort Priority,Description
Units,0,,1,"In scientific notation, expressed as ten raised to the power of zero (10^0)"
Tens,1,,2,"In scientific notation, expressed as ten raised to the power of one (10^1)"
Hundreds,2,,3,"In scientific notation, expressed as ten raised to the power of two (10^2)"
Thousands,3,,4,"In scientific notation, expressed as ten raised to the power of three (10^3)"
Tens of thousands,4,,5,"In scientific notation, expressed as ten raised to the power of four (10^4)"
Hundreds of thousands,5,,6,"In scientific notation, expressed as ten raised to the power of five(10^5)"
Millions,6,,7,"In scientific notation, expressed as ten raised to the power of six (10^6)"
Tens of millions,7,,8,"In scientific notation, expressed as ten raised to the power of seven (10^7)"
Hundreds of millions,8,,9,"In scientific notation, expressed as ten raised to the power of eight (10^8)"
Billions,9,,10,"In scientific notation, expressed as ten raised to the power of nine (10^9)"
Tens of billions,10,,11,"In scientific notation, expressed as ten raised to the power of ten (10^10)"
Hundreds of billions,11,,12,"In scientific notation, expressed as ten raised to the power of eleven (10^11)"
Trillions,12,,13,"In scientific notation, expressed as ten raised to the power of twelve (10^12)"
Tens of trillions,13,,14,"In scientific notation, expressed as ten raised to the power of thirteen (10^13)"
Hundreds of trillions,14,,15,"In scientific notation, expressed as ten raised to the power of fourteen (10^14)"
Quadrillions,15,,16,"In scientific notation, expressed as ten raised to the power of fifteen (10^15)"
Tenths,-1,,17,"In scientific notation, expressed as ten raised to the power of minus one (10^-1)"
Hundredths,-2,,18,"In scientific notation, expressed as ten raised to the power of minus two (10^-2)"
Thousandths,-3,,19,"In scientific notation, expressed as ten raised to the power of minus three (10^-3)"
Ten-thousandths,-4,,20,"In scientific notation, expressed as ten raised to the power of minus four (10^-4)"
Hundred-thousandths,-5,,21,"In scientific notation, expressed as ten raised to the power of minus five (10^-5)"
Millionths,-6,,22,"In scientific notation, expressed as ten raised to the power of minus six (10^-6)"
Ten-millionths,-7,,23,"In scientific notation, expressed as ten raised to the power of minus seven (10^-7)"
Hundred-millionths,-8,,24,"In scientific notation, expressed as ten raised to the power of minus eight (10^-8)"
Billionths,-9,,25,"In scientific notation, expressed as ten raised to the power of minus nine (10^-9)"
Ten-billionths,-10,,26,"In scientific notation, expressed as ten raised to the power of minus ten (10^-10)"
Hundred-billionths,-11,,27,"In scientific notation, expressed as ten raised to the power of minus eleven (10^-11)"
Trillionths,-12,,28,"In scientific notation, expressed as ten raised to the power of minus twelve (10^-12)"
Ten-trillionths,-13,,29,"In scientific notation, expressed as ten raised to the power of minus thirteen (10^-13)"
Hundred-trillionths,-14,,30,"In scientific notation, expressed as ten raised to the power of minus fourteen (10^-14)"
Quadrillionths,-15,,31,"In scientific notation, expressed as ten raised to the power of minus fifteen (10^-15)"
