Label,Notation,Parent Notation,Sort Priority
"Agriculture, Energy and Environment",agriculture-energy-environment,,
"Business, Trade and International Development",business-trade-international-development,,
"Children, Education and Skills",children-education-skills,,
Crime and Security,crime-security,,
Culture and Identity,culture-identity,,
Economy,economy,,
Health and Social Care,health-social-care,,
"Housing, Planning and Local Services",housing-planning-local-services,,
Labour Market and Welfare,labour-market-welfare,,
Population and Society,population-society,,
"Security, Defence and International Relations",security-defence-international-relations,,
"Travel, Transport and Tourism",travel-transport-tourism,,
"Business, Industry, Trade, Energy",business-industry-trade-energy,,
